Hour,Solar Power Output (kWh)
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,412.722
947,1314.864
948,4025.99
949,2805.149
950,3246.193
951,2450.675
952,2425.61
953,881.826
954,84.955
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,102.382
970,1058.718
971,2843.803
972,5922.358
973,4463.339
974,4048.464
975,4122.832
976,2071.921
977,1180.103
978,147.135
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,256.851
994,1045.595
995,2625.6
996,4288.218
997,4696.604
998,4406.43
999,3625.447
1000,3288.54
1001,744.555
1002,104.295
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,94.151
1018,1038.577
1019,2022.322
1020,4144.977
1021,4317.97
1022,5264.879
1023,3647.463
1024,1705.456
1025,1606.903
1026,210.357
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,50.962
1042,228.366
1043,3960.514
1044,731.988
1045,2243.219
1046,1972.904
1047,1980.484
1048,1643.418
1049,1837.542
1050,232.538
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,328.997
1066,2135.998
1067,3124.07
1068,4751.051
1069,5876.784
1070,6846.571
1071,5333.561
1072,3015.667
1073,1701.518
1074,379.683
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,156.727
1090,1671.489
1091,2821.166
1092,1482.91
1093,4584.275
1094,4021.579
1095,5339.214
1096,3680.37
1097,1410.004
1098,306.367
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,235.667
1114,498.772
1115,1817.823
1116,2054.988
1117,3832.155
1118,4976.625
1119,1973.669
1120,3447.443
1121,335.533
1122,63.97
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,488.936
1138,1283.916
1139,4609.568
1140,5700.23
1141,4983.507
1142,7067.308
1143,6413.208
1144,2642.752
1145,770.433
1146,184.721
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,468.531
1162,958.616
1163,4231.751
1164,6799.104
1165,8333.333
1166,8007.458
1167,6427.814
1168,1079.881
1169,638.078
1170,104.344
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,776.112
1186,1962.649
1187,4498.376
1188,6435.99
1189,7567.385
1190,7780.723
1191,5689.922
1192,4328.748
1193,2643.005
1194,916.925
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,583.364
1210,515.225
1211,2782.55
1212,3434.878
1213,5638.469
1214,5654.707
1215,3316.406
1216,5002.09
1217,683.835
1218,193.155
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,448.121
1234,1303.435
1235,3352.646
1236,4788.83
1237,5729.77
1238,4354.204
1239,3740.595
1240,4056.705
1241,2412.466
1242,1103.887
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,118.389
1258,1499.09
1259,1367.317
1260,3977.089
1261,3713.966
1262,2909.611
1263,1789.901
1264,1061.753
1265,3263.005
1266,590.48
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,671.914
1282,886.012
1283,2979.96
1284,4942.623
1285,7893.599
1286,5229.689
1287,5159.048
1288,4050.165
1289,1712.954
1290,678.036
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,169.648
1306,668.098
1307,1421.619
1308,2760.606
1309,2872.642
1310,4440.73
1311,1975.583
1312,2721.303
1313,1355.7
1314,352.235
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,262.343
1330,229.59
1331,1823.781
1332,2635.089
1333,2563.916
1334,3340.317
1335,1979.528
1336,1903.573
1337,366.847
1338,162.429
