Month,Day,Hour,Solar Energy (kWh),Wind Energy (kWh),Grid Energy (kWh),Total Cost ($)
1.0,10.0,17.0,0.0,100.0,0.0,5200.0
1.0,10.0,18.0,0.0,100.0,0.0,5200.0
1.0,10.0,19.0,0.0,100.0,0.0,5200.0
1.0,10.0,20.0,0.0,100.0,0.0,5200.0
1.0,10.0,21.0,0.0,100.0,0.0,5200.0
1.0,10.0,22.0,0.0,100.0,0.0,5200.0
1.0,10.0,23.0,0.0,100.0,0.0,5200.0
1.0,11.0,0.0,0.0,100.0,0.0,5200.0
1.0,11.0,1.0,0.0,100.0,0.0,5200.0
1.0,11.0,2.0,0.0,100.0,0.0,5200.0
1.0,11.0,3.0,0.0,100.0,0.0,5200.0
1.0,11.0,4.0,0.0,100.0,0.0,5200.0
1.0,11.0,5.0,0.0,100.0,0.0,5200.0
1.0,11.0,6.0,0.0,100.0,0.0,5200.0
1.0,11.0,7.0,0.0,100.0,0.0,5200.0
1.0,11.0,8.0,0.0,100.0,0.0,5200.0
1.0,11.0,9.0,100.0,0.0,0.0,5000.0
1.0,11.0,10.0,100.0,0.0,0.0,5000.0
1.0,11.0,11.0,100.0,0.0,0.0,5000.0
1.0,11.0,12.0,100.0,0.0,0.0,5000.0
1.0,11.0,13.0,100.0,0.0,0.0,5000.0
1.0,11.0,14.0,100.0,0.0,0.0,5000.0
1.0,11.0,15.0,100.0,0.0,0.0,5000.0
1.0,11.0,16.0,100.0,0.0,0.0,5000.0
1.0,11.0,17.0,0.0,100.0,0.0,5200.0
1.0,11.0,18.0,0.0,100.0,0.0,5200.0
1.0,11.0,19.0,0.0,100.0,0.0,5200.0
1.0,11.0,20.0,0.0,100.0,0.0,5200.0
1.0,11.0,21.0,0.0,100.0,0.0,5200.0
1.0,11.0,22.0,0.0,100.0,0.0,5200.0
1.0,11.0,23.0,0.0,100.0,0.0,5200.0
1.0,12.0,0.0,0.0,100.0,0.0,5200.0
1.0,12.0,1.0,0.0,100.0,0.0,5200.0
1.0,12.0,2.0,0.0,100.0,0.0,5200.0
1.0,12.0,3.0,0.0,100.0,0.0,5200.0
1.0,12.0,4.0,0.0,100.0,0.0,5200.0
1.0,12.0,5.0,0.0,100.0,0.0,5200.0
1.0,12.0,6.0,0.0,100.0,0.0,5200.0
1.0,12.0,7.0,0.0,100.0,0.0,5200.0
1.0,12.0,8.0,100.0,0.0,0.0,5000.0
1.0,12.0,9.0,100.0,0.0,0.0,5000.0
1.0,12.0,10.0,100.0,0.0,0.0,5000.0
1.0,12.0,11.0,100.0,0.0,0.0,5000.0
1.0,12.0,12.0,100.0,0.0,0.0,5000.0
1.0,12.0,13.0,100.0,0.0,0.0,5000.0
1.0,12.0,14.0,100.0,0.0,0.0,5000.0
1.0,12.0,15.0,100.0,0.0,0.0,5000.0
1.0,12.0,16.0,100.0,0.0,0.0,5000.0
1.0,12.0,17.0,7.819,92.181,0.0,5184.362
1.0,12.0,18.0,0.0,100.0,0.0,5200.0
1.0,12.0,19.0,0.0,100.0,0.0,5200.0
1.0,12.0,20.0,0.0,100.0,0.0,5200.0
1.0,12.0,21.0,0.0,100.0,0.0,5200.0
1.0,12.0,22.0,0.0,100.0,0.0,5200.0
1.0,12.0,23.0,0.0,100.0,0.0,5200.0
1.0,13.0,0.0,0.0,100.0,0.0,5200.0
1.0,13.0,1.0,0.0,100.0,0.0,5200.0
1.0,13.0,2.0,0.0,100.0,0.0,5200.0
1.0,13.0,3.0,0.0,100.0,0.0,5200.0
1.0,13.0,4.0,0.0,100.0,0.0,5200.0
1.0,13.0,5.0,0.0,100.0,0.0,5200.0
1.0,13.0,6.0,0.0,100.0,0.0,5200.0
1.0,13.0,7.0,0.0,100.0,0.0,5200.0
1.0,13.0,8.0,100.0,0.0,0.0,5000.0
1.0,13.0,9.0,100.0,0.0,0.0,5000.0
1.0,13.0,10.0,100.0,0.0,0.0,5000.0
1.0,13.0,11.0,88.001,11.998999999999995,0.0,5023.998
1.0,13.0,12.0,100.0,0.0,0.0,5000.0
1.0,13.0,13.0,100.0,0.0,0.0,5000.0
1.0,13.0,14.0,100.0,0.0,0.0,5000.0
1.0,13.0,15.0,100.0,0.0,0.0,5000.0
1.0,13.0,16.0,95.082,4.918000000000006,0.0,5009.835999999999
1.0,13.0,17.0,0.0,100.0,0.0,5200.0
1.0,13.0,18.0,0.0,100.0,0.0,5200.0
1.0,13.0,19.0,0.0,100.0,0.0,5200.0
1.0,13.0,20.0,0.0,100.0,0.0,5200.0
1.0,13.0,21.0,0.0,100.0,0.0,5200.0
1.0,13.0,22.0,0.0,100.0,0.0,5200.0
1.0,13.0,23.0,0.0,100.0,0.0,5200.0
1.0,14.0,0.0,0.0,100.0,0.0,5200.0
1.0,14.0,1.0,0.0,100.0,0.0,5200.0
1.0,14.0,2.0,0.0,100.0,0.0,5200.0
1.0,14.0,3.0,0.0,100.0,0.0,5200.0
1.0,14.0,4.0,0.0,100.0,0.0,5200.0
1.0,14.0,5.0,0.0,100.0,0.0,5200.0
1.0,14.0,6.0,0.0,100.0,0.0,5200.0
1.0,14.0,7.0,0.0,100.0,0.0,5200.0
1.0,14.0,8.0,100.0,0.0,0.0,5000.0
1.0,14.0,9.0,100.0,0.0,0.0,5000.0
1.0,14.0,10.0,100.0,0.0,0.0,5000.0
1.0,14.0,11.0,100.0,0.0,0.0,5000.0
1.0,14.0,12.0,100.0,0.0,0.0,5000.0
1.0,14.0,13.0,100.0,0.0,0.0,5000.0
1.0,14.0,14.0,100.0,0.0,0.0,5000.0
1.0,14.0,15.0,100.0,0.0,0.0,5000.0
1.0,14.0,16.0,100.0,0.0,0.0,5000.0
1.0,14.0,17.0,41.933,24.961295260172893,33.105704739827104,5215.451114219481
1.0,14.0,18.0,0.0,100.0,0.0,5200.0
1.0,14.0,19.0,0.0,100.0,0.0,5200.0
1.0,14.0,20.0,0.0,100.0,0.0,5200.0
1.0,14.0,21.0,0.0,100.0,0.0,5200.0
1.0,14.0,22.0,0.0,100.0,0.0,5200.0
1.0,14.0,23.0,0.0,100.0,0.0,5200.0
1.0,15.0,0.0,0.0,100.0,0.0,5200.0
1.0,15.0,1.0,0.0,100.0,0.0,5200.0
1.0,15.0,2.0,0.0,100.0,0.0,5200.0
1.0,15.0,3.0,0.0,100.0,0.0,5200.0
1.0,15.0,4.0,0.0,100.0,0.0,5200.0
1.0,15.0,5.0,0.0,100.0,0.0,5200.0
